GRID_1K_CD,pop,emp,pc_in
나나7878,5,3,0.0
나나7879,263,87,0.0259
나나7880,16,5,0.0036
나나7881,9,5,0.0008
나나7882,14,5,0.0008
나나7883,200,45,0.0111
나나7884,84,61,0.0215
나나7885,111,29,0.0056
나나7886,229,108,0.0334
나나7973,33,38,0.0084
나나7974,258,31,0.0052
나나7975,135,9,0.0056
나나7976,155,89,0.0322
나나7977,5,5,0.0
나나7978,18,5,0.0008
나나7979,56,5,0.004
나나7980,2,11,0.0004
나나7981,37,11,0.0016
나나7982,16,5,0.0004
나나7983,66,11,0.0036
나나7984,75,30,0.0036
나나7985,124,15,0.0032
나나7986,367,100,0.0227
나나7987,4,20,0.0008
나나8072,0,0,0.0
나나8073,60,80,0.0215
나나8074,49,8,0.0036
나나8075,93,14,0.0044
나나8076,12,13,0.0028
나나8077,5,5,0.0012
나나8078,71,28,0.0088
나나8079,67,14,0.0048
나나8080,33,8,0.0004
나나8081,8,5,0.0004
나나8082,39,11,0.0032
나나8083,42,18,0.0032
나나8084,73,23,0.0048
나나8085,18,58,0.0139
나나8086,11,5,0.0016
나나8087,243,53,0.0099
나나8088,83,87,0.0231
나나8089,0,0,0.0
나나8172,117,26,0.0072
나나8173,303,43,0.0064
나나8174,23,236,0.0386
나나8175,5,26,0.0072
나나8176,86,5,0.002
나나8177,218,30,0.0123
나나8178,64,11,0.0024
나나8179,19,5,0.0004
나나8180,52,5,0.0012
나나8181,45,8,0.0016
나나8182,259,47,0.0068
나나8183,375,73,0.0322
나나8184,135,12,0.0052
나나8185,13,0,0.0016
나나8186,10,11,0.0008
나나8187,25,10,0.0012
나나8188,158,72,0.0302
나나8189,623,180,0.0362
나나8190,0,0,0.0
나나8191,122,29,0.0099
나나8192,0,0,0.0
나나8270,2,8,0.004
나나8271,376,102,0.0283
나나8272,184,29,0.0099
나나8273,98,15,0.0052
나나8274,69,40,0.0171
나나8275,15,18,0.0068
나나8276,110,30,0.0099
나나8277,5,0,0.0028
나나8278,192,27,0.0103
나나8279,119,11,0.0052
나나8280,157,20,0.0024
나나8281,83,22,0.0036
나나8282,33,8,0.0012
나나8283,231,38,0.0107
나나8284,5,17,0.0004
나나8285,14,337,0.109
나나8286,33,92,0.0398
나나8287,3,0,0.0004
나나8288,273,112,0.0677
나나8289,259,408,0.0868
나나8290,0,0,0.0
나나8291,12,16,0.0008
나나8369,13,11,0.0028
나나8370,2118,1499,0.4628
나나8371,2584,669,0.1668
나나8372,30,5,0.0028
나나8373,1,4,0.0016
나나8374,4,8,0.0044
나나8375,18,3,0.002
나나8376,67,5,0.0028
나나8377,46,8,0.002
나나8378,79,10,0.0044
나나8379,68,16,0.0048
나나8380,102,20,0.0072
나나8381,269,78,0.0247
나나8382,111,87,0.0267
나나8383,19,3,0.0004
나나8384,24,9,0.0032
나나8385,10,96,0.0529
나나8386,36,82,0.0354
나나8387,141,24,0.0056
나나8388,334,107,0.049
나나8389,333,142,0.0398
나나8390,704,376,0.1154
나나8391,56,11,0.0135
나나8392,0,0,0.0
나나8458,9,11,0.0028
나나8459,69,65,0.0092
나나8464,0,0,0.0
나나8465,0,0,0.0
나나8467,0,0,0.0
나나8468,0,0,0.0
나나8469,299,117,0.0267
나나8470,2771,365,0.1222
나나8471,1229,585,0.1341
나나8472,3,84,0.0004
나나8473,1,11,0.0008
나나8474,7,3,0.0032
나나8475,388,37,0.0131
나나8476,9,0,0.0004
나나8477,0,0,0.0
나나8478,31,5,0.0024
나나8479,52,21,0.0076
나나8480,152,26,0.008
나나8481,236,54,0.0183
나나8482,209,102,0.0259
나나8483,358,128,0.035
나나8484,175,26,0.0092
나나8485,184,54,0.0115
나나8486,29,9,0.0123
나나8487,109,15,0.0048
나나8488,182,37,0.0072
나나8489,108,60,0.0263
나나8490,885,160,0.039
나나8491,1805,740,0.3208
나나8492,422,495,0.2066
나나8493,4,11,0.0036
나나8494,0,0,0.0
나나8558,1,3,0.0
나나8559,3,3,0.0008
나나8563,0,0,0.0
나나8564,135,73,0.0096
나나8565,75,35,0.0052
나나8567,1,0,0.0004
나나8568,1,14,0.0
나나8569,11,3,0.0008
나나8570,48,27,0.006
나나8571,364,81,0.0183
나나8572,12,13,0.004
나나8573,226,80,0.0418
나나8574,250,41,0.0123
나나8575,6,3,0.0171
나나8576,63,20,0.0036
나나8577,1315,188,0.1059
나나8578,0,0,0.0
나나8579,0,0,0.0
나나8580,0,0,0.0
나나8581,262,125,0.0346
나나8582,6,5,0.0004
나나8583,76,72,0.0247
나나8584,8,5,0.0016
나나8585,65,21,0.004
나나8586,187,39,0.0099
나나8587,33,20,0.0084
나나8588,192,63,0.0243
나나8589,214,41,0.0135
나나8590,216,244,0.0593
나나8591,2606,1372,0.3872
나나8592,3284,1264,0.4863
나나8593,1035,163,0.072
나나8594,126,52,0.0175
나나8664,0,0,0.0
나나8665,0,0,0.0
나나8667,0,0,0.0
나나8668,9,5,0.0028
나나8669,6,8,0.002
나나8670,8,5,0.0028
나나8671,2,0,0.0
나나8672,16,4,0.0004
나나8673,785,204,0.0637
나나8674,81,32,0.0103
나나8675,149,37,0.0119
나나8676,792,194,0.0768
나나8677,1978,581,0.2507
나나8678,1126,689,0.166
나나8679,0,247,0.0052
나나8680,1,3,0.0008
나나8681,4,0,0.0004
나나8682,0,5,0.0
나나8683,2,3,0.0
나나8684,69,285,0.08
나나8685,114,18,0.0052
나나8686,10,57,0.0211
나나8687,209,232,0.0669
나나8688,111,64,0.0215
나나8689,134,33,0.0203
나나8690,29,28,0.008
나나8691,420,125,0.0398
나나8692,377,301,0.0653
나나8693,362,28,0.0127
나나8694,229,133,0.0501
나나8695,190,48,0.0231
나나8765,0,0,0.0
나나8767,0,0,0.0
나나8768,0,0,0.0
나나8769,101,151,0.0545
나나8770,14,8,0.002
나나8771,886,121,0.047
나나8772,115,50,0.0143
나나8773,62,46,0.0096
나나8774,7,13,0.004
나나8775,38,23,0.0048
나나8776,20,24,0.0084
나나8777,148,92,0.0187
나나8778,440,73,0.1707
나나8779,40,528,0.4075
나나8780,1,89,0.0358
나나8781,0,0,0.0
나나8782,0,0,0.0
나나8783,0,0,0.0008
나나8784,5,17,0.0012
나나8785,170,67,0.0275
나나8786,98,60,0.0183
나나8787,12,13,0.004
나나8788,39,3,0.0028
나나8789,10,5,0.0028
나나8790,40,30,0.0175
나나8791,114,24,0.0032
나나8792,107,22,0.0092
나나8793,238,64,0.0155
나나8794,113,80,0.0255
나나8795,433,122,0.0366
나나8870,0,0,0.0
나나8871,545,229,0.0629
나나8872,273,168,0.0386
나나8873,276,211,0.035
나나8874,518,103,0.0251
나나8875,197,44,0.0139
나나8876,249,81,0.0298
나나8877,603,82,0.0354
나나8878,382,117,0.0462
나나8879,0,74,0.0342
나나8880,0,0,0.0326
나나8881,0,0,0.0
나나8882,0,0,0.0
나나8883,0,0,0.0
나나8884,5,11,0.0048
나나8885,248,98,0.0243
나나8886,127,31,0.0068
나나8887,4,22,0.0016
나나8888,11,49,0.0139
나나8889,27,65,0.0155
나나8890,15,3,0.0016
나나8891,30,46,0.0088
나나8892,202,84,0.0283
나나8893,33,43,0.0072
나나8894,393,41,0.0131
나나8895,632,238,0.0732
나나8896,0,0,0.0
나나8969,0,0,0.0
나나8971,62,36,0.0056
나나8972,34,114,0.0454
나나8973,22,37,0.0096
나나8974,216,20,0.0092
나나8975,29,11,0.0028
나나8976,83,24,0.0151
나나8977,73,22,0.0048
나나8978,210,113,0.0529
나나8979,5,288,0.468
나나8980,0,1009,0.0004
나나8981,0,0,0.0
나나8982,0,0,0.0
나나8983,0,204,0.0657
나나8984,21,15,0.0103
나나8985,54,75,0.0151
나나8986,40,32,0.0131
나나8987,4,17,0.0024
나나8988,27,42,0.0103
나나8989,5,3,0.0008
나나8990,3,8,0.0012
나나8991,58,11,0.0036
나나8992,670,122,0.0378
나나8993,243,47,0.0115
나나8994,15,31,0.0167
나나8995,680,149,0.0509
나나8996,255,119,0.0354
나나8997,244,419,0.1484
나나8998,2,0,0.0
나나9071,0,0,0.0
나나9072,0,21,0.0111
나나9073,599,102,0.0386
나나9074,394,27,0.0171
나나9075,1,3,0.0004
나나9076,16,3,0.0036
나나9077,209,27,0.0127
나나9078,143,113,0.0338
나나9079,136,67,0.0171
나나9080,15,16,0.0107
나나9081,0,0,0.0004
나나9082,0,0,0.0
나나9083,18,53,0.0314
나나9084,108,146,0.0398
나나9085,12,5,0.0092
나나9086,3,8,0.0072
나나9087,14,16,0.0028
나나9088,16,58,0.0207
나나9089,18,5,0.0024
나나9090,12,16,0.0084
나나9091,19,19,0.0127
나나9092,71,27,0.0036
나나9093,87,14,0.006
나나9094,239,26,0.0084
나나9095,69,15,0.0044
나나9096,73,40,0.0175
나나9097,1606,740,0.2324
나나9098,0,196,0.0
나나9171,0,0,0.0
나나9172,307,137,0.0605
나나9173,1803,598,0.2042
나나9174,269,107,0.0482
나나9175,0,11,0.004
나나9176,6,31,0.008
나나9177,140,35,0.008
나나9178,102,39,0.0143
나나9179,184,21,0.0135
나나9180,281,175,0.0828
나나9181,2,86,0.0259
나나9182,2,8,0.0032
나나9183,0,17,0.004
나나9184,1,15,0.0068
나나9185,6,12,0.0048
나나9186,11,5,0.0076
나나9187,1,3,0.0155
나나9188,23,3,0.0052
나나9189,20,21,0.0096
나나9190,175,27,0.0076
나나9191,43,5,0.0036
나나9192,206,107,0.076
나나9193,63,20,0.0103
나나9194,725,140,0.0442
나나9195,272,91,0.033
나나9196,192,170,0.0458
나나9197,756,355,0.1401
나나9198,6,0,0.0048
나나9272,1,357,0.0004
나나9273,13,0,0.0008
나나9274,202,39,0.0227
나나9275,85,9,0.0052
나나9276,5,5,0.0008
나나9277,11,24,0.0096
나나9278,19,38,0.0076
나나9279,23,3,0.0016
나나9280,89,77,0.0247
나나9281,56,15,0.0092
나나9282,0,24,0.004
나나9283,0,29,0.0
나나9284,0,0,0.0
나나9285,2,3,0.0024
나나9286,3,9,0.0032
나나9287,0,0,0.0
나나9288,4,3,0.0004
나나9289,20,3,0.0
나나9290,109,92,0.0521
나나9291,12,0,0.0008
나나9292,20,83,0.0259
나나9293,61,26,0.0084
나나9294,17,22,0.0072
나나9295,261,52,0.0163
나나9296,430,129,0.049
나나9297,290,193,0.0513
나나9298,85,51,0.0215
나나9371,0,0,0.0
나나9372,20,13,0.0028
나나9373,41,5,0.0012
나나9374,525,78,0.0279
나나9375,77,7,0.0016
나나9376,43,32,0.0088
나나9377,55,69,0.0207
나나9378,5,44,0.0099
나나9379,0,0,0.0
나나9380,80,35,0.0123
나나9381,3,0,0.0008
나나9382,3,0,0.0008
나나9383,0,3,0.0
나나9384,10,16,0.0068
나나9385,1,30,0.033
나나9386,0,5,0.0004
나나9387,0,0,0.0
나나9388,0,0,0.0
나나9389,47,8,0.0024
나나9390,38,9,0.0024
나나9391,5,0,0.0008
나나9392,7,7,0.0028
나나9393,12,8,0.0072
나나9394,17,15,0.0056
나나9395,166,14,0.0036
나나9396,398,73,0.0211
나나9397,384,86,0.0362
나나9398,408,317,0.1238
나나9399,9,22,0.0068
나나9471,93,40,0.0115
나나9472,786,276,0.0613
나나9473,32,5,0.0016
나나9474,36,10,0.0056
나나9475,555,171,0.0557
나나9476,269,42,0.0159
나나9477,17,13,0.0064
나나9478,7,82,0.0008
나나9479,0,97,0.0227
나나9480,14,8,0.0028
나나9481,0,0,0.0
나나9482,0,0,0.0
나나9483,9,5,0.0008
나나9484,41,177,0.0629
나나9485,0,0,0.0
나나9486,0,27,0.0
나나9487,5,84,0.0
나나9488,0,0,0.0012
나나9489,4,235,0.0657
나나9490,0,0,0.0008
나나9491,41,25,0.0052
나나9492,56,43,0.0107
나나9493,0,0,0.002
나나9494,25,31,0.0135
나나9495,126,69,0.0155
나나9496,138,159,0.0374
나나9497,202,8,0.006
나나9498,974,335,0.1027
나나9499,76,101,0.0418
나나9571,22,5,0.002
나나9572,152,27,0.0123
나나9573,12,8,0.002
나나9574,4,3,0.0004
나나9575,238,66,0.0279
나나9576,49,3,0.0024
나나9577,0,0,0.0
나나9578,0,5,0.0
나나9579,5,3,0.002
나나9580,71,26,0.0131
나나9581,3,0,0.0
나나9582,70,32,0.0076
나나9583,1,0,0.0
나나9584,0,0,0.0
나나9585,0,0,0.0
나나9586,0,0,0.0
나나9587,0,241,0.0732
나나9588,2,0,0.0016
나나9589,1,17,0.0131
나나9590,49,59,0.0056
나나9591,67,27,0.006
나나9592,82,29,0.0072
나나9593,142,22,0.0103
나나9594,240,52,0.0107
나나9595,40,14,0.0048
나나9596,159,59,0.0163
나나9597,99,28,0.0139
나나9598,1512,309,0.1158
나나9599,413,182,0.0633
나나9671,2,7,0.0016
나나9672,263,88,0.0302
나나9673,971,161,0.045
나나9674,29,14,0.0048
나나9675,143,133,0.0521
나나9676,0,0,0.0
나나9677,0,3,0.0
나나9678,0,0,0.0
나나9679,50,39,0.0183
나나9680,2,5,0.0008
나나9681,2,247,0.0147
나나9682,1,0,0.0008
나나9683,18,3,0.0008
나나9684,12,12,0.0446
나나9685,1,87,0.0
나나9686,0,0,0.0
나나9687,0,0,0.0
나나9688,3,0,0.0004
나나9689,13,17,0.0
나나9690,8,31,0.0068
나나9691,46,540,0.0275
나나9692,29,56,0.0314
나나9693,158,14,0.0036
나나9694,76,13,0.0111
나나9695,365,99,0.0191
나나9696,319,100,0.0597
나나9697,292,71,0.0123
나나9698,443,128,0.037
나나9699,214,104,0.0271
나나9772,2,12,0.0
나나9773,202,12,0.0195
나나9774,158,168,0.0728
나나9775,23,41,0.0199
나나9776,4,38,0.0283
나나9777,0,0,0.0
나나9778,0,0,0.0
나나9779,0,0,0.1051
나나9780,0,0,0.0
나나9781,0,0,0.0
나나9782,0,0,0.0
나나9783,0,0,0.0068
나나9784,0,0,0.0028
나나9785,0,0,0.0
나나9786,0,0,0.0
나나9787,0,0,0.0
나나9788,0,0,0.0
나나9789,0,0,0.0
나나9790,0,0,0.0
나나9791,11,418,0.0358
나나9792,192,157,0.0601
나나9793,372,123,0.0239
나나9794,172,86,0.0287
나나9795,499,73,0.0195
나나9796,256,86,0.0298
나나9797,565,109,0.0338
나나9798,505,127,0.0418
나나9799,883,613,0.1922
