GRID_1K_CD,pop,emp,pc_in
다바6851,3,3,0.0004
다바6852,30,80,0.0458
다바6853,50,92,0.0505
다바6854,14,112,0.0382
다바6855,370,93,0.0291
다바6856,200,95,0.0227
다바6857,90,110,0.0402
다바6858,26,67,0.0378
다바6859,109,49,0.0183
다바6860,79,232,0.1242
다바6861,7,74,0.0235
다바6862,23,365,0.1831
다바6863,173,274,0.0884
다바6864,11131,1295,0.439
다바6865,9199,1042,0.3761
다바6866,7473,2646,0.7788
다바6867,10408,5039,2.3146
다바6868,6283,3235,1.7415
다바6869,10780,3183,1.8398
다바6870,25752,6633,2.5713
다바6871,4954,2578,1.0427
다바6872,967,472,0.4433
다바6873,1309,698,0.1847
다바6874,1592,174,0.0923
다바6875,5245,1235,0.4672
다바6876,750,452,0.2436
다바6877,641,314,0.1469
다바6878,10,1525,0.2197
다바6879,327,397,1.849
다바6880,39,26,0.0092
다바6881,38,5,0.0414
다바6882,271,214,0.0768
다바6883,286,586,0.2229
다바6884,94,120,0.0283
다바6885,61,37,0.0072
다바6886,59,33,0.0064
다바6887,355,335,0.1632
다바6888,11348,3137,0.5938
다바6889,7351,838,0.3423
다바6890,59,99,0.0605
다바6891,24,41,0.0131
다바6892,21,164,0.0665
다바6893,142,417,0.1946
다바6894,236,390,0.1094
다바6895,127,285,0.1086
다바6896,74,214,0.078
다바6897,20,305,0.1592
다바6898,39,86,0.0474
다바6899,219,573,0.312
다바6900,94,68,0.0223
다바6901,99,136,0.0406
다바6902,167,71,0.0187
다바6903,3,3,0.0016
다바6904,129,8,0.0068
다바6905,100,124,0.041
다바6906,35,40,0.0111
다바6907,44,5,0.0004
다바6908,13,3,0.0004
다바6909,25,0,0.002
다바6910,107,124,0.039
다바6911,54,20,0.0028
다바6912,135,153,0.0744
다바6913,61,5,0.0016
다바6914,33,8,0.0012
다바6915,35,8,0.0008
다바6916,18,0,0.0016
다바6917,136,37,0.0163
다바6918,223,159,0.0259
다바6919,107,21,0.0056
다바6920,3,0,0.0004
다바6921,7,0,0.0
다바6922,9,3,0.0
다바6923,0,0,0.0
다바6924,13,3,0.0004
다바6925,12,0,0.0
다바6926,19,0,0.0
다바6927,100,53,0.0147
다바6928,108,124,0.0422
다바6929,93,17,0.008
다바6930,1803,236,0.0605
다바6931,1880,1243,0.2953
다바6932,90,133,0.0959
다바6933,45,51,0.0183
다바6934,123,142,0.0203
다바6935,84,8,0.0056
다바6936,20,0,0.0
다바6937,49,26,0.0004
다바6938,10,3,0.0008
다바6939,4,0,0.0016
다바6940,16,3,0.0008
다바6941,71,0,0.0004
다바6942,43,25,0.0092
다바6943,13,4,0.0012
다바6944,2,0,0.0016
다바6945,0,0,0.0
다바6946,5,5,0.0016
다바6947,0,0,0.0
다바6948,1,69,0.0295
다바6949,0,0,0.0
다바6950,0,0,0.0
다바6951,0,0,0.0
다바6952,5,30,0.0056
다바6953,58,54,0.0279
다바6954,297,885,0.1242
다바6955,17,131,0.0661
다바6956,0,215,0.0792
다바6957,439,121,0.0346
다바6958,467,332,0.0967
다바6959,32,37,0.004
다바6960,137,81,0.0573
다바6961,2,0,0.0004
다바6962,56,293,0.0426
다바6963,111,474,0.0267
다바6964,10580,2270,0.7219
다바6965,9934,7250,2.6008
다바6966,13262,3543,1.4872
다바6967,9180,3638,1.7591
다바6968,14709,6077,2.8778
다바6969,12500,6026,2.8173
다바6970,9581,1503,0.8007
다바6971,1388,651,0.2444
다바6972,2610,914,0.3761
다바6973,425,1125,0.5707
다바6974,282,358,0.3041
다바6975,8279,1472,0.6177
다바6976,926,1040,0.5225
다바6977,58,428,0.191
다바6978,313,664,0.2336
다바6979,0,46,0.0064
다바6980,0,0,0.0
다바6981,0,0,0.0
다바6982,224,164,0.0501
다바6983,133,377,0.1612
다바6984,8,33,0.004
다바6985,133,12,0.0024
다바6986,36,5,0.0072
다바6987,200,319,0.1488
다바6988,4203,692,0.3701
다바6989,6940,1290,0.4465
다바6990,74,1670,0.6754
다바6991,115,23,0.0068
다바6992,86,91,0.0458
다바6993,117,235,0.0943
다바6994,330,409,0.2304
다바6995,131,53,0.0135
다바6996,58,16,0.0115
다바6997,226,710,0.2973
다바6998,82,379,0.125
다바6999,141,1155,0.2539
다바7000,87,14,0.0024
다바7001,61,281,0.1015
다바7002,58,5,0.0028
다바7003,124,20,0.0032
다바7004,126,5,0.0076
다바7005,79,16,0.0068
다바7006,79,5,0.0032
다바7007,29,3,0.0
다바7008,34,122,0.0458
다바7009,160,68,0.0251
다바7010,81,16,0.006
다바7011,35,33,0.0131
다바7012,106,12,0.0036
다바7013,381,58,0.0131
다바7014,44,11,0.0032
다바7015,116,20,0.0028
다바7016,22,3,0.0012
다바7017,67,8,0.0028
다바7018,121,8,0.0044
다바7019,179,39,0.0115
다바7020,67,5,0.002
다바7021,67,11,0.0036
다바7022,34,8,0.0008
다바7023,18,0,0.0004
다바7024,23,5,0.0028
다바7025,84,25,0.0072
다바7026,147,42,0.0143
다바7027,66,35,0.008
다바7028,26,41,0.0167
다바7029,106,5,0.0068
다바7030,39,24,0.0099
다바7031,116,299,0.0669
다바7032,180,83,0.0251
다바7033,28,270,0.0354
다바7034,15,5,0.0012
다바7035,72,42,0.0354
다바7036,6,7,0.0
다바7037,6,0,0.0016
다바7038,1,3,0.0032
다바7039,40,3,0.0004
다바7040,24,17,0.0004
다바7041,13,3,0.0
다바7042,93,20,0.0056
다바7043,74,21,0.0084
다바7044,44,10,0.0032
다바7045,64,9,0.0056
다바7046,2,0,0.0004
다바7047,41,39,0.0064
다바7048,22,267,0.072
다바7049,4,19,0.0199
다바7050,0,0,0.0
다바7051,0,0,0.0
다바7052,0,0,0.0
다바7053,47,9,0.0044
다바7054,40,126,0.043
다바7055,59,8,0.0048
다바7056,3,3,0.0
다바7057,55,23,0.0068
다바7058,155,136,0.0784
다바7059,171,198,0.0987
다바7060,38,303,0.0903
다바7061,216,659,0.2754
다바7062,187,597,0.2201
다바7063,41,1355,0.2658
다바7064,251,493,0.2591
다바7065,2287,1910,0.5213
다바7066,1654,1674,0.6487
다바7067,706,687,0.3212
다바7068,2848,957,0.4437
다바7069,157,445,0.1867
다바7070,685,567,1.7384
다바7071,56,4117,1.1832
다바7072,34,60,0.0219
다바7073,19,108,0.0028
다바7074,151,15,0.0127
다바7075,73,616,0.2806
다바7076,55,168,0.0895
다바7077,341,314,0.2121
다바7078,346,572,0.2121
다바7079,95,36,0.0271
다바7080,0,0,0.0
다바7081,3,0,0.0008
다바7082,22,6,0.0016
다바7083,263,201,0.0856
다바7084,121,78,0.0151
다바7085,24,11,0.0064
다바7086,145,24,0.0099
다바7087,251,21,0.0187
다바7088,6746,1100,0.4151
다바7089,10663,2786,0.9953
다바7090,942,916,0.4286
다바7091,148,393,0.1715
다바7092,52,233,0.1194
다바7093,43,82,0.0653
다바7094,89,1553,0.3017
다바7095,57,175,0.082
다바7096,38,61,0.0175
다바7097,35,54,0.0239
다바7098,80,490,0.2229
다바7099,0,28,0.0111
다바7100,235,184,0.0493
다바7101,195,89,0.0402
다바7102,132,5,0.0036
다바7103,94,90,0.0271
다바7104,177,158,0.0354
다바7105,146,487,0.1648
다바7106,100,16,0.006
다바7107,35,12,0.004
다바7108,25,5,0.0012
다바7109,39,8,0.0012
다바7110,67,5,0.0052
다바7111,146,37,0.0099
다바7112,43,97,0.0024
다바7113,123,49,0.0283
다바7114,95,49,0.0251
다바7115,173,54,0.0167
다바7116,9,5,0.002
다바7117,1,0,0.0
다바7118,12,34,0.0139
다바7119,119,58,0.0127
다바7120,21,10,0.0008
다바7121,69,5,0.0008
다바7122,56,8,0.0032
다바7123,53,22,0.0048
다바7124,2,9,0.0016
다바7125,0,0,0.0
다바7126,13,0,0.0008
다바7127,40,23,0.0199
다바7128,17,3,0.0004
다바7129,35,5,0.002
다바7130,11,0,0.0012
다바7131,72,84,0.0004
다바7132,119,98,0.0291
다바7133,83,17,0.0203
다바7134,36,5,0.0008
다바7135,18,3,0.0008
다바7136,59,80,0.0227
다바7137,60,0,0.0008
다바7138,23,67,0.0279
다바7139,58,3,0.0044
다바7140,43,3,0.0004
다바7141,4,0,0.0
다바7142,15,5,0.0004
다바7143,18,3,0.0004
다바7144,15,3,0.0012
다바7145,8,82,0.0223
다바7146,10,0,0.0048
다바7147,15,5,0.0096
다바7148,61,5,0.0012
다바7149,75,104,0.0338
다바7150,33,21,0.0064
다바7151,70,3,0.0016
다바7152,6,0,0.0044
다바7153,506,52,0.031
다바7154,34,9,0.0048
다바7155,10,180,0.0657
다바7156,17,6,0.0
다바7157,13,30,0.008
다바7158,14,61,0.0295
다바7159,26,3,0.0012
다바7160,145,42,0.0207
다바7161,148,209,0.0923
다바7162,5297,477,0.2006
다바7163,84,209,0.1027
다바7164,102,671,0.3526
다바7165,163,108,0.0358
다바7166,149,518,0.1978
다바7167,19,16,0.002
다바7168,1363,925,0.3184
다바7169,26,49,0.3084
다바7170,2689,1489,0.9603
다바7171,2258,1393,0.583
다바7172,1136,907,0.2746
다바7173,297,244,0.2356
다바7174,59,109,0.0521
다바7175,1002,943,0.4441
다바7176,112,322,0.1086
다바7177,46,384,0.1373
다바7178,138,91,0.0382
다바7179,125,697,0.2547
다바7180,41,214,0.0657
다바7181,88,156,0.0696
다바7182,131,41,0.0295
다바7183,23,388,0.0983
다바7184,75,34,0.0163
다바7185,236,45,0.0111
다바7186,24,17,0.006
다바7187,432,203,0.0772
다바7188,1362,178,0.0637
다바7189,8821,1257,0.4497
다바7190,2846,223,0.1528
다바7191,12,330,0.1186
다바7192,259,248,0.1027
다바7193,54,236,0.1039
다바7194,34,0,0.0012
다바7195,30,128,0.039
다바7196,25,523,0.2436
다바7197,1,3,0.0
다바7198,29,310,0.1377
다바7199,75,538,0.2376
다바7200,110,11,0.0032
다바7201,208,383,0.1437
다바7202,195,42,0.0167
다바7203,157,85,0.0287
다바7204,48,0,0.0008
다바7205,20,3,0.0
다바7206,1,0,0.0
다바7207,4,10,0.0008
다바7208,1,0,0.0
다바7209,10,0,0.0004
다바7210,30,3,0.0
다바7211,75,13,0.002
다바7212,52,42,0.1281
다바7213,21,15,0.0032
다바7214,29,3,0.002
다바7215,6,8,0.0012
다바7216,0,0,0.0
다바7217,0,0,0.0
다바7218,2,8,0.0
다바7219,0,0,0.0
다바7220,10,3,0.0004
다바7221,32,5,0.0
다바7222,27,3,0.002
다바7223,97,42,0.006
다바7224,31,21,0.0072
다바7225,8,8,0.0012
다바7226,4,0,0.0004
다바7227,15,69,0.0143
다바7228,53,18,0.004
다바7229,4,3,0.0
다바7230,14,0,0.0
다바7231,42,8,0.0028
다바7232,152,218,0.0454
다바7233,121,30,0.004
다바7234,80,30,0.0151
다바7235,206,14,0.0036
다바7236,35,0,0.002
다바7237,106,130,0.0525
다바7238,57,17,0.0048
다바7239,81,34,0.0088
다바7240,41,5,0.0016
다바7241,49,5,0.0
다바7242,4,4,0.0016
다바7243,70,5,0.0028
다바7244,1,0,0.0008
다바7245,58,11,0.002
다바7246,8,109,0.0438
다바7247,39,3,0.002
다바7248,12,0,0.0008
다바7249,25,8,0.0004
다바7250,107,190,0.0625
다바7251,89,40,0.0163
다바7252,151,216,0.1067
다바7253,332,534,0.2479
다바7254,88,63,0.0247
다바7255,105,37,0.0111
다바7256,64,232,0.07
다바7257,14,274,0.1297
다바7258,40,235,0.1246
다바7259,10,3,0.0004
다바7260,2,5,0.0008
다바7261,57,296,0.1075
다바7262,7,0,0.0
다바7263,3634,455,0.1767
다바7264,38,5,0.0048
다바7265,149,44,0.0247
다바7266,120,410,0.1958
다바7267,18,10,0.0048
다바7268,95,243,0.1067
다바7269,255,177,0.1194
다바7270,2612,287,0.1433
다바7271,276,85,0.0569
다바7272,137,21,0.0231
다바7273,434,143,0.0641
다바7274,307,87,0.0525
다바7275,190,140,0.0418
다바7276,166,620,0.3391
다바7277,66,624,0.228
다바7278,95,127,0.0613
다바7279,29,49,0.045
다바7280,109,399,0.1878
다바7281,28,303,0.1238
다바7282,132,511,0.3578
다바7283,90,471,0.1417
다바7284,251,159,0.0521
다바7285,37,74,0.0406
다바7286,22,77,0.0263
다바7287,6,3,0.0024
다바7288,36,401,0.1918
다바7289,1138,677,0.2658
다바7290,248,502,0.2141
다바7291,541,51,0.0482
다바7292,173,63,0.0235
다바7293,152,128,0.0569
다바7294,156,114,0.0856
다바7295,581,562,0.2607
다바7296,68,312,0.111
다바7297,15,38,0.0354
다바7298,5,3,0.0004
다바7299,16,3,0.0012
다바7300,73,23,0.0008
다바7301,315,290,0.1019
다바7302,64,5,0.0024
다바7303,5,3,0.0012
다바7304,7,0,0.0
다바7305,20,0,0.0008
다바7306,9,3,0.0004
다바7307,20,0,0.002
다바7308,2,0,0.0
다바7309,2,0,0.0008
다바7310,7,3,0.0
다바7311,6,3,0.0
다바7312,0,3,0.0
다바7313,0,0,0.0
다바7314,0,0,0.0
다바7315,0,0,0.0
다바7316,0,0,0.0
다바7317,0,0,0.0
다바7318,1,0,0.0004
다바7319,0,0,0.0
다바7320,0,0,0.0
다바7321,0,0,0.0
다바7322,43,8,0.0016
다바7323,22,11,0.0012
다바7324,24,3,0.0036
다바7325,44,34,0.0096
다바7326,34,41,0.0119
다바7327,92,18,0.0131
다바7328,3,0,0.0
다바7329,11,384,0.3005
다바7330,2,3,0.0
다바7331,6,0,0.0
다바7332,176,38,0.0314
다바7333,915,847,0.2543
다바7334,212,95,0.0322
다바7335,133,20,0.0072
다바7336,16,11,0.0203
다바7337,1,23,0.0
다바7338,89,36,0.0123
다바7339,53,16,0.0052
다바7340,6,3,0.0004
다바7341,2,0,0.0
다바7342,0,3,0.0
다바7343,13,31,0.0088
다바7344,73,209,0.0402
다바7345,37,12,0.0008
다바7346,0,0,0.0
다바7347,17,5,0.0
다바7348,0,0,0.0
다바7349,2,0,0.0
다바7350,0,0,0.0
다바7351,1,0,0.0
다바7352,69,36,0.0306
다바7353,1765,618,0.2097
다바7354,88,86,0.0326
다바7355,85,27,0.0163
다바7356,57,62,0.0235
다바7357,22,440,0.1926
다바7358,7,21,0.0099
다바7359,12,4,0.0
다바7360,60,3,0.0004
다바7361,30,104,0.0342
다바7362,102,199,0.0967
다바7363,1497,914,0.3725
다바7364,113,288,0.0975
다바7365,44,20,0.0123
다바7366,19,204,0.031
다바7367,43,17,0.0044
다바7368,7,3,0.0
다바7369,0,14,0.0
다바7370,7,3,0.0024
다바7371,26,3,0.0016
다바7372,21,75,0.0398
다바7373,93,14,0.0068
다바7374,3835,1112,0.2814
다바7375,3260,1780,0.909
다바7376,1663,637,0.48
다바7377,96,1720,0.4692
다바7378,228,520,0.2201
다바7379,227,634,0.2245
다바7380,129,308,0.1365
다바7381,106,403,0.1914
다바7382,107,105,0.0728
다바7383,57,77,0.0195
다바7384,46,616,0.23
다바7385,368,63,0.0326
다바7386,22,14,0.0103
다바7387,25,143,0.0271
다바7388,254,289,0.0887
다바7389,3368,401,0.3025
다바7390,3437,1122,0.4167
다바7391,724,137,0.0696
다바7392,191,110,0.0374
다바7393,35,22,0.0247
다바7394,185,424,0.1281
다바7395,222,250,0.0951
다바7396,170,679,0.2551
다바7397,96,83,0.043
다바7398,10,74,0.0569
다바7399,7,48,0.0247
다바7400,107,88,0.0446
다바7401,495,374,0.1222
다바7402,391,213,0.072
다바7403,109,5,0.0024
다바7404,51,11,0.0012
다바7405,57,3,0.002
다바7406,55,28,0.0068
다바7407,138,141,0.045
다바7408,128,16,0.0064
다바7409,214,92,0.035
다바7410,21,4,0.0044
다바7411,0,14,0.0
다바7412,0,18,0.0
다바7413,0,0,0.0
다바7414,0,0,0.0
다바7415,0,0,0.0
다바7416,0,0,0.0
다바7417,6,23,0.0123
다바7418,1,0,0.0
다바7419,0,0,0.0
다바7420,181,21,0.008
다바7421,138,31,0.0052
다바7422,4,0,0.002
다바7423,18,3,0.0004
다바7424,128,55,0.0107
다바7425,186,124,0.0482
다바7426,145,57,0.0199
다바7427,248,55,0.0207
다바7428,161,24,0.0338
다바7429,25,63,0.0127
다바7430,13,0,0.0008
다바7431,29,0,0.0028
다바7432,257,273,0.0824
다바7433,547,277,0.0947
다바7434,252,52,0.0103
다바7435,215,25,0.0088
다바7436,19,0,0.0004
다바7437,2,0,0.0008
다바7438,10,12,0.0052
다바7439,26,59,0.0231
다바7440,48,5,0.0016
다바7441,9,0,0.0
다바7442,12,0,0.0004
다바7443,22,10,0.0028
다바7444,142,54,0.0247
다바7445,46,41,0.006
다바7446,0,0,0.0
다바7447,312,261,0.0963
다바7448,99,66,0.0231
다바7449,67,54,0.0187
다바7450,55,40,0.0414
다바7451,83,38,0.0099
다바7452,104,88,0.041
다바7453,191,107,0.0509
다바7454,110,121,0.0493
다바7455,32,2471,0.8907
다바7456,138,266,0.1118
다바7457,52,129,0.0438
다바7458,70,268,0.0334
다바7459,60,26,0.0115
다바7460,79,510,0.1683
다바7461,155,754,0.2766
다바7462,82,249,0.1071
다바7463,2898,521,0.201
다바7464,3226,429,0.187
다바7465,0,0,0.0
다바7466,0,0,0.0
다바7467,51,8,0.0028
다바7468,5,0,0.0
다바7469,23,5,0.0008
다바7470,15,3,0.0004
다바7471,31,3,0.0052
다바7472,0,0,0.0
다바7473,5,0,0.0004
다바7474,294,361,0.0517
다바7475,517,89,0.0963
다바7476,55,2778,0.9026
다바7477,49,352,0.2169
다바7478,203,86,0.0462
다바7479,710,280,0.109
다바7480,185,833,0.3538
다바7481,22,408,0.1086
다바7482,72,75,0.0215
다바7483,152,97,0.0322
다바7484,171,43,0.0199
다바7485,159,85,0.0493
다바7486,471,222,0.0876
다바7487,24,25,0.0076
다바7488,473,36,0.0231
다바7489,160,31,0.0179
다바7490,1901,340,0.119
다바7491,137,29,0.0088
다바7492,10,18,0.0028
다바7493,94,182,0.0454
다바7494,29,98,0.0346
다바7495,83,193,0.0967
다바7496,81,30,0.0123
다바7497,122,277,0.1254
다바7498,30,139,0.0792
다바7499,143,470,0.1767
다바7500,204,24,0.0099
다바7501,127,159,0.0561
다바7502,87,302,0.1588
다바7503,154,91,0.0346
다바7504,178,104,0.0346
다바7505,100,74,0.041
다바7506,82,107,0.0334
다바7507,135,99,0.0306
다바7508,66,91,0.0271
다바7509,2431,106,0.0406
다바7510,117,121,0.0199
다바7511,0,132,0.0279
다바7512,0,0,0.0
다바7513,0,74,0.041
다바7514,13,0,0.0076
다바7515,0,0,0.0
다바7516,0,0,0.0
다바7517,9,72,0.0203
다바7518,4,0,0.0
다바7519,0,0,0.0
다바7520,6,0,0.0008
다바7521,0,80,0.0394
다바7522,242,64,0.0334
다바7523,44,3,0.0048
다바7524,21,23,0.0135
다바7525,0,0,0.0
다바7526,17,23,0.0096
다바7527,178,576,0.039
다바7528,10,66,0.0143
다바7529,10,12,0.0036
다바7530,26,27,0.0088
다바7531,41,13,0.0056
다바7532,145,106,0.0283
다바7533,900,1046,0.439
다바7534,3307,378,0.1285
다바7535,4702,473,0.1421
다바7536,457,12,0.0259
다바7537,7,0,0.0012
다바7538,166,50,0.0159
다바7539,56,5,0.0016
다바7540,15,3,0.0008
다바7541,108,67,0.0199
다바7542,35,0,0.0012
다바7543,53,9,0.008
다바7544,66,24,0.0096
다바7545,55,5,0.006
다바7546,0,3,0.0004
다바7547,18,3,0.006
다바7548,2,0,0.0
다바7549,36,48,0.0179
다바7550,19,0,0.0024
다바7551,25,5,0.0
다바7552,66,46,0.0227
다바7553,43,10,0.0107
다바7554,67,8,0.0028
다바7555,112,478,0.1823
다바7556,55,1176,0.4187
다바7557,2,0,0.0
다바7558,21,562,0.1847
다바7559,112,425,0.1628
다바7560,395,210,0.0828
다바7561,66,53,0.0159
다바7562,41,412,0.1799
다바7563,523,340,0.0959
다바7564,38,273,0.1779
다바7565,60,339,0.0418
다바7566,260,18,0.0088
다바7567,29,34,0.0119
다바7568,112,8,0.004
다바7569,70,208,0.0828
다바7570,78,8,0.006
다바7571,7,0,0.0
다바7572,2,3,0.0008
다바7573,5,3,0.0008
다바7574,40,12,0.0084
다바7575,3,0,0.0012
다바7576,32,11,0.0048
다바7577,244,26,0.0151
다바7578,318,337,0.1648
다바7579,2188,778,0.3363
다바7580,378,657,0.4306
다바7581,25,582,0.2682
다바7582,168,114,0.0263
다바7583,145,73,0.0366
다바7584,28,528,0.2336
다바7585,120,410,0.1624
다바7586,146,137,0.0692
다바7587,186,113,0.0525
다바7588,726,195,0.0923
다바7589,3155,2181,1.6512
다바7590,5711,741,0.2877
다바7591,256,166,0.0681
다바7592,105,273,0.1337
다바7593,151,999,0.3641
다바7594,53,343,0.1624
다바7595,75,46,0.0179
다바7596,9,3,0.0
다바7597,0,0,0.0
다바7598,0,0,0.0
다바7599,36,0,0.0
다바7600,65,0,0.0016
다바7601,0,71,0.0175
다바7602,13,3,0.0004
다바7603,2,0,0.0
다바7604,36,0,0.0
다바7605,22,3,0.0004
다바7606,13,0,0.0
다바7607,33,63,0.0306
다바7608,88,316,0.1206
다바7609,9048,1267,0.5436
다바7610,4149,1829,0.856
다바7611,5230,70,0.2117
다바7612,0,13,0.0235
다바7613,0,0,0.0107
다바7614,0,0,0.0
다바7615,0,0,0.0
다바7616,0,0,0.0
다바7617,54,151,0.0724
다바7618,54,43,0.0127
다바7619,0,0,0.0004
다바7620,209,14,0.0056
다바7621,1,0,0.0
다바7622,201,180,0.0573
다바7623,187,478,0.0271
다바7624,0,3,0.0
다바7625,0,0,0.0
다바7626,129,181,0.0585
다바7627,107,70,0.0199
다바7628,114,25,0.0016
다바7629,4,30,0.0099
다바7630,22,122,0.0513
다바7631,16,32,0.0092
다바7632,1477,167,0.0517
다바7633,9907,887,0.3733
다바7634,14518,3128,1.0073
다바7635,10502,3019,1.1884
다바7636,3068,262,0.084
다바7637,15,88,0.0358
다바7638,88,50,0.0115
다바7639,53,71,0.0255
다바7640,9,0,0.0008
다바7641,111,45,0.0143
다바7642,22,3,0.0048
다바7643,64,134,0.0382
다바7644,15,14,0.0056
다바7645,59,24,0.008
다바7646,28,65,0.0283
다바7647,63,36,0.0119
다바7648,21,0,0.0008
다바7649,19,3,0.0032
다바7650,77,5,0.0012
다바7651,39,69,0.0243
다바7652,49,28,0.0111
다바7653,0,0,0.0
다바7654,1,0,0.0
다바7655,25,0,0.0008
다바7656,5,0,0.0012
다바7657,58,36,0.0394
다바7658,53,380,0.1011
다바7659,123,316,0.121
다바7660,333,277,0.1258
다바7661,91,111,0.0434
다바7662,43,18,0.0004
다바7663,286,274,0.1122
다바7664,361,238,0.0649
다바7665,1238,355,0.1373
다바7666,133,73,0.0207
다바7667,159,21,0.0119
다바7668,63,18,0.0052
다바7669,6,3,0.0004
다바7670,107,24,0.0048
다바7671,21,12,0.002
다바7672,4,0,0.0
다바7673,5,0,0.0016
다바7674,7,3,0.0012
다바7675,14,24,0.0076
다바7676,125,20,0.0115
다바7677,120,42,0.0239
다바7678,173,1140,0.4513
다바7679,123,413,0.1723
다바7680,122,548,0.1731
다바7681,127,563,0.2125
다바7682,228,154,0.0557
다바7683,120,182,0.0724
다바7684,64,1076,0.3331
다바7685,74,150,0.0864
다바7686,154,238,0.1079
다바7687,83,175,0.1668
다바7688,247,44,0.0199
다바7689,0,34,0.0028
다바7690,735,359,0.156
다바7691,121,729,0.3156
다바7692,128,250,0.0903
다바7693,153,134,0.0589
다바7694,80,449,0.3267
다바7695,86,228,0.0724
다바7696,132,42,0.0119
다바7697,33,29,0.006
다바7698,29,100,0.0318
다바7699,7,14,0.008
다바7700,0,0,0.0
다바7701,44,43,0.0195
다바7702,27,5,0.002
다바7703,0,0,0.0
다바7704,15,3,0.0004
다바7705,36,0,0.0
다바7706,65,3,0.0044
다바7707,1618,76,0.0159
다바7708,5014,1725,0.739
다바7709,218,233,0.0979
다바7710,276,344,0.8907
다바7711,2187,253,0.2535
다바7712,0,0,0.0
다바7713,0,0,0.0
다바7714,1,77,0.0052
다바7715,9,3,0.0056
다바7716,16,5,0.0119
다바7717,90,75,0.0227
다바7718,493,461,0.1679
다바7719,2,4,0.0024
다바7720,22,7,0.0028
다바7721,18,16,0.0107
다바7722,536,678,0.1946
다바7723,164,244,0.0911
다바7724,47,0,0.0012
다바7725,64,9,0.0024
다바7726,0,0,0.0
다바7727,145,32,0.0135
다바7728,57,11,0.0016
다바7729,0,120,0.0123
다바7730,5220,789,0.275
다바7731,14101,2007,0.6388
다바7732,23035,3322,1.0447
다바7733,21093,3217,1.028
다바7734,18850,3919,1.3062
다바7735,15124,1127,0.3789
다바7736,16,216,0.1015
다바7737,0,151,0.0545
다바7738,123,46,0.0195
다바7739,87,39,0.0175
다바7740,169,22,0.0115
다바7741,44,52,0.0092
다바7742,139,33,0.0103
다바7743,36,23,0.0119
다바7744,25,3,0.0012
다바7745,80,12,0.0068
다바7746,54,39,0.0107
다바7747,31,26,0.0076
다바7748,63,5,0.0008
다바7749,14,0,0.0032
다바7750,19,0,0.0004
다바7751,49,14,0.0099
다바7752,130,315,0.2639
다바7753,7,0,0.0
다바7754,1,3,0.0
다바7755,1,0,0.0
다바7756,38,0,0.0
다바7757,73,5,0.0032
다바7758,235,229,0.0585
다바7759,78,128,0.0673
다바7760,58,931,0.3653
다바7761,159,183,0.0545
다바7762,34,313,0.1596
다바7763,633,254,0.0935
다바7764,385,78,0.0215
다바7765,2,0,0.0004
다바7766,49,0,0.0394
다바7767,45,3,0.0016
다바7768,0,0,0.0
다바7769,0,0,0.0
다바7770,1,0,0.0
다바7771,10,0,0.0008
다바7772,67,17,0.0012
다바7773,15,3,0.0004
다바7774,0,0,0.0
다바7775,1,0,0.0
다바7776,0,0,0.0
다바7777,0,0,0.0012
다바7778,146,575,0.3176
다바7779,1198,1202,0.5751
다바7780,180,150,0.0314
다바7781,80,8,0.0028
다바7782,62,7,0.0016
다바7783,164,148,0.0748
다바7784,439,1803,0.9022
다바7785,854,530,0.2563
다바7786,69,253,0.1067
다바7787,99,164,0.0677
다바7788,53,343,0.1341
다바7789,121,410,0.1687
다바7790,1014,2281,1.0328
다바7791,298,2485,1.0741
다바7792,188,150,0.0768
다바7793,50,68,0.0291
다바7794,57,417,0.1707
다바7795,63,3,0.0028
다바7796,125,156,0.033
다바7797,93,119,0.037
다바7798,106,86,0.0402
다바7799,12,85,0.0008
다바7800,94,77,0.0259
다바7801,155,132,0.0533
다바7802,0,0,0.0
다바7803,0,0,0.0004
다바7804,0,0,0.0
다바7805,43,117,0.0295
다바7806,725,98,0.0263
다바7807,8296,722,0.6296
다바7808,2949,975,0.4286
다바7809,134,54,0.0155
다바7810,5,53,0.0092
다바7811,0,0,0.0
다바7812,18,3,0.0012
다바7813,3,0,0.0008
다바7814,0,0,0.0
다바7815,30,9,0.0016
다바7816,12,0,0.0012
다바7817,4,5,0.0012
다바7818,116,76,0.0247
다바7819,13,30,0.0159
다바7820,67,60,0.0131
다바7821,69,58,0.0235
다바7822,79,29,0.0131
다바7823,337,281,0.0776
다바7824,36,36,0.0103
다바7825,0,0,0.0
다바7826,4,0,0.0004
다바7827,58,234,0.0549
다바7828,225,131,0.0426
다바7829,33,15,0.0088
다바7830,3657,340,0.148
다바7831,8683,5586,2.5845
다바7832,13690,8659,2.8451
다바7833,5073,13219,5.4638
다바7834,9879,9575,3.747
다바7835,11329,4433,1.4343
다바7836,5461,437,0.148
다바7837,5894,0,0.0549
다바7838,108,605,0.0852
다바7839,132,11,0.0024
다바7840,190,50,0.0183
다바7841,163,177,0.0442
다바7842,91,153,0.043
다바7843,158,258,0.0685
다바7844,50,34,0.0076
다바7845,76,17,0.0064
다바7846,3,3,0.0
다바7847,29,3,0.002
다바7848,85,37,0.0096
다바7849,68,20,0.0291
다바7850,57,52,0.0088
다바7851,139,9,0.0092
다바7852,31,67,0.0338
