O_GID,D_GID,VOL
다사5844,다사5844,548.71
다사5452,다사5452,431.33
다사6017,다사6017,378.2
다사6113,다사6113,361.27
다라3469,다라3469,353.4
다사5352,다사5352,350.85
다사6045,다사6045,341.99
다사4747,다사4947,337.68
마라0155,마라0056,324.18
다사4947,다사4947,323.65
라마6090,라마6092,322.61
다사4642,다사4642,317.43
다사4943,다사4943,314.09
다사4929,다사4929,312.86
마마0163,마마0163,312.08
나라9739,나라9639,311.16
다사6748,다사6748,309.64
다바8817,다바8917,308.03
다바9017,다바8917,302.79
다바8917,다바8917,299.33
다사4641,다사4542,298.54
나라9739,나라9738,279.97
다사5843,다사5843,278.79
다사5851,다사5851,268.64
다사3039,다사3039,265.65
다바9213,다바9213,263.65
다바7734,다바7833,262.98
다바7733,다바7833,261.04
다사5944,다사5944,258.32
다사6643,다사6643,257.4
다바6588,다바6588,256.26
다사6547,다사6547,253.59
다바8818,다바8917,251.97
다사6112,다사6113,251.72
다사6016,다사6016,248.38
다바7834,다바7833,247.93
다사3738,다사3738,245.4
라바8644,라바8942,245.25
다사6044,다사6044,244.88
다사4641,다사4541,244.42
다사6016,다사6017,244.39
다사4932,다사4932,243.89
다바9018,다바8917,243.81
라바6143,라바6143,243.19
다바7832,다바7833,241.73
다사6530,다사6530,237.48
다사6348,다사6348,237.4
마라4786,마라4887,236.08
다사7050,다사7050,235.34
다바7732,다바7833,235.24
다바8915,다바8916,234.45
다사5351,다사5351,231.58
다바8916,다바8916,228.93
다사6013,다사6113,228.75
다사6546,다사6546,228.55
다바9122,다바9122,228.44
다바6093,다바6093,228.35
다사4846,다사4947,227.83
다사5332,다사5332,226.09
마마7322,마마7224,225.11
다라3570,다라3469,223.99
다사6848,다사6848,222.87
다사5946,다사5946,221.53
다사5149,다사5149,220.35
다사5751,다사5751,219.18
라마6092,라마6092,218.98
다사5150,다사5352,217.06
다사5051,다사5051,216.98
다사5752,다사5752,216.44
다마6060,다마6060,215.78
다사5150,다사4947,215.43
마라4284,마라4284,215.42
다사5843,다사5844,215.35
다바9016,다바8917,212.26
마마6527,마마6527,212.02
다사4746,다사4947,208.84
다바8447,다바8448,208.0
마라2777,마라2777,207.67
다라3569,다라3469,207.42
마마7425,마마7526,206.21
다사4747,다사4847,206.15
다바8816,다바8917,206.03
마라4388,마라4388,205.85
라마8544,라마8544,205.25
다사5451,다사5451,205.21
다사4647,다사4647,204.7
다사7037,다사7137,204.52
다사5132,다사5132,203.33
다사5142,다사5142,203.21
다사4742,다사4642,202.94
다사4542,다사4542,202.71
마라4185,마라4185,202.13
다사4747,다사4747,201.37
다사6642,다사6642,200.33
다사6529,다사6529,199.59
다사4640,다사4542,198.52
다사5142,다사5844,197.93
다사6262,다사6262,197.85
다바8915,다바8917,197.68
다사6063,다사6063,197.59
다사4024,다사4024,197.54
마라4285,마라4285,197.41
다사3144,다사3144,194.95
다사6248,다사6248,194.2
다사5150,다사5452,191.77
다바8916,다바8917,191.75
다사3644,다사3644,191.72
다사2638,다사2638,191.64
다사6353,다사6353,191.63
마라0155,라라9957,191.15
다사6345,다사6345,190.95
다사4450,다사4947,190.6
다사4162,다사4162,190.23
다바2650,다바2651,189.61
다바8926,다바9025,188.1
다사4020,다사4024,187.42
다바6071,다바6571,186.55
다사4640,다사4541,186.08
마라4081,마라4081,185.61
마바6725,마바6725,183.83
다바6092,다바6092,182.26
다사5049,다사5049,182.25
다사5049,다사5149,181.86
라바0611,라바0611,181.79
다사5251,다사5251,181.76
마라4078,마라4078,181.53
라마9564,라마9564,181.33
다바6095,다바6093,181.25
다사4653,다사4653,180.86
다사5856,다사5856,180.83
다사6849,다사6849,180.34
다바8818,다바8818,180.27
다사7252,다사7252,179.98
다사6644,다사6644,179.78
다바6571,다바6571,178.73
다사9916,다사9816,177.97
다마5373,다마5373,177.91
다바9016,다바8916,177.85
다사4640,다사4640,177.85
다사6855,다사6855,177.8
다사6149,다사6149,176.96
다사5746,다사5746,176.87
다마6559,다마6559,176.83
다사6152,다사6152,176.04
다사7038,다사7038,176.03
마마6738,마마6738,176.02
다사6446,다사6446,175.75
다사7038,다사7137,175.58
라마9357,라마9357,175.23
다사4351,다사4351,175.17
다사6020,다사6020,175.06
다사4011,다사3906,175.02
마라4387,마라4387,174.72
다사4648,다사4648,174.33
다사2840,다사2840,174.28
라마9358,라마9358,174.22
다라3686,다라3685,174.09
다사4450,다사4450,173.86
다사5143,다사5143,173.08
마라4081,마라4080,172.67
라마9361,라마9361,172.51
나라9639,나라9738,172.46
마마6527,마마6528,172.14
다사6020,다사6017,172.14
다사4944,다사4944,171.62
마라4283,마라4283,171.29
다마6457,다마6457,170.95
다사5233,다사5233,170.92
다사5912,다사6113,170.68
다사6162,다사6162,170.45
다바6968,다바6968,170.23
다사5918,다사6017,170.23
다사3039,다사2939,169.73
다사5030,다사5030,169.52
다바8512,다바8512,169.27
다사6021,다사6017,169.21
다사4641,다사4641,169.15
다라4091,다라4091,169.11
다사6546,다사6446,168.87
다사6113,다사6114,168.48
다사5812,다사6113,168.37
다사5028,다사5128,168.31
다사6145,다사6145,167.9
다사5049,다사4947,167.86
다사6838,다사6838,167.72
다사6210,다사6210,166.84
다라3468,다라3469,166.82
다사5942,다사5942,166.18
다바7835,다바7833,165.7
다사5348,다사5348,165.38
다바9017,다바9017,164.93
다사6049,다사6049,164.44
다사4932,다사5032,164.34
다사6243,다사6243,164.18
다사5745,다사5745,163.83
라라1761,라라1761,163.59
다바6093,다바6092,163.44
다사5150,다사5351,163.2
마라0991,마라0792,162.87
마마7527,마마7526,162.84
다바7834,다바7834,162.76
다사2660,다사2660,162.57
마라2979,마라2979,162.43
다사5916,다사6017,162.18
다나1198,다나1198,162.11
다사6750,다사6750,161.86
다사4447,다사4447,161.83
다바9214,다바9214,161.6
다바7831,다바7831,161.19
마라3794,마라3794,160.74
다사5643,다사5643,160.6
다라3685,다라3685,160.53
마마1164,마마1164,160.31
다바9013,다바9013,160.26
다사6445,다사6445,160.23
다바8523,다바8724,160.02
다사4640,다사4641,159.99
라마7591,라마7591,159.98
라마2025,라마2024,159.91
라라5688,라라5687,159.91
다사5252,다사5352,159.77
다사3760,다사3760,159.74
다사3546,다사3547,159.57
마라0792,마라0792,159.4
다사5652,다사5652,159.23
다사5755,다사5755,158.95
다사6258,다사6258,158.73
다사4957,다사4957,158.71
다사6088,다사6088,158.63
다라3787,다라3685,158.34
다사6648,다사6648,158.28
다사5149,다사4947,158.27
마라0991,마라0991,158.26
