O_GID,D_GID,VOL
다사5844,다사5844,3351.95
다사5452,다사5452,3093.38
다사5051,다사5051,2148.79
다사5352,다사5352,2005.44
다사5351,다사5351,1911.22
다사5451,다사5451,1829.88
다사4947,다사4947,1630.51
다사5854,다사5854,1599.9
마라4285,마라4285,1567.12
다사6045,다사6045,1516.88
다사6445,다사6445,1453.18
다사6044,다사6044,1431.82
다사5551,다사5551,1267.2
다사5645,다사5645,1256.29
다사5142,다사5142,1249.41
다사6748,다사6748,1233.06
마라4185,마라4185,1232.28
다사0739,다사0739,1169.16
마마0066,마마0066,1085.73
다사5149,다사5149,1084.36
다사5843,다사5843,1055.76
다사5951,다사5951,1047.08
다사5851,다사5851,1043.59
다사4850,다사4850,1042.15
마라4583,마라4583,1038.95
다사4950,다사4950,1036.02
다사5746,다사5746,1030.18
다사5552,다사5552,1029.41
다사6345,다사6345,1012.68
다사6348,다사6348,1008.88
다사6248,다사6248,994.14
다사5652,다사5652,990.62
다사5944,다사5944,987.5
다사4943,다사4943,986.11
마라5186,마라5186,985.82
다사6529,다사6529,967.59
다사5752,다사5752,962.99
다사5050,다사5050,956.92
마라3979,마라3979,954.31
다사4746,다사4746,952.49
다사5151,다사5151,951.98
다사5751,다사5751,950.36
다사4942,다사4942,950.03
다사4653,다사4653,946.78
다사3144,다사3144,944.77
다사6848,다사6848,932.88
다사5754,다사5754,928.74
다사5452,다사5352,924.45
다사2539,다사2539,915.12
다사7321,다사7321,914.57
다사5946,다사5946,907.47
다사5352,다사5452,906.54
다사5553,다사5553,903.83
다사3039,다사3039,903.2
다사6546,다사6546,897.3
다사6249,다사6249,889.04
다사6049,다사6049,857.55
다사6855,다사6855,856.97
다사4447,다사4447,855.18
다사6446,다사6446,853.97
다사7050,다사7050,851.38
다사5745,다사5745,846.47
다사6250,다사6250,843.59
마마0163,마마0163,841.9
다사4833,다사4833,836.29
마라4494,마라4494,835.92
다사0739,다사0640,831.33
다사6353,다사6353,826.57
다사6530,다사6530,825.63
다사5132,다사5132,824.86
다사6262,다사6262,823.73
마라0792,마라0792,820.2
다사6161,다사6161,818.52
다사5643,다사5643,818.02
다사5856,다사5856,817.84
다사6849,다사6849,811.92
다사5947,다사5947,811.02
다사6258,다사6258,806.88
다사3562,다사3562,806.39
라마9358,라마9358,805.52
다사6145,다사6145,805.45
다사4929,다사4929,798.97
다사7252,다사7252,797.01
다사5818,다사5818,782.04
마라5287,마라5287,781.3
다사5348,다사5348,780.13
라마9361,라마9361,774.07
다사5452,다사5552,773.09
다사6648,다사6648,766.81
다사6631,다사6631,765.0
마라4887,마라4887,762.08
마마6527,마마6527,758.24
다사5853,다사5853,758.11
다사6850,다사6850,749.73
다사5554,다사5554,747.72
다사6750,다사6750,742.18
다사5744,다사5744,739.63
다사4957,다사4957,738.88
라마9470,라마9470,737.87
다사6545,다사6545,735.4
다바9314,다바9314,735.14
다사4857,다사4857,733.04
다사5847,다사5847,728.71
다사6054,다사6054,726.18
다사6157,다사6157,726.03
마라3794,마라3794,723.99
마라4388,마라4388,723.37
다사5442,다사5442,717.25
다사6643,다사6643,716.5
다사5860,다사5860,712.83
다사6053,다사6053,708.52
다사4944,다사4944,708.36
라라9687,라라9687,703.28
다사4162,다사4162,696.84
다사6020,다사6020,695.6
다사4149,다사4149,695.41
다사4124,다사4124,695.05
다바9013,다바9013,688.55
다사3445,다사3445,684.22
마라3380,마라3380,682.44
다사5453,다사5453,680.92
다바6588,다바6588,680.31
다사6162,다사6162,680.02
다사5756,다사5756,679.23
다사4023,다사4023,677.09
다사6144,다사6144,676.36
