O_GRID,D_GRID,VOL
다바8911,다바9213,62.250759326058
다사4449,다사5251,133.544040462446
마라0255,마라0155,56.3622865226204
다사6848,다사6642,61.3168123865898
다사7050,다사7150,50.839401250503
다라0546,다라0546,57.6195083355595
다사3725,다사3425,96.5946636002705
라마9157,라마9963,61.5894609918001
다사6630,다사6631,62.1338903562079
다사6424,다사6633,113.582781205242
다사5912,다사6113,213.826853926955
다사6016,다사5718,188.7437952643
라사1985,라사1986,89.4614495685843
라사2085,라사2185,104.431520034128
다나1199,다다0901,52.6564719820668
마라0991,마라1089,143.284454868653
라아9421,라아9620,92.304683918626
다사6519,다사6310,61.875636932814
다사5150,다사5149,139.945797237615
다사4846,다사5452,72.0253313659651
다사2436,다사2432,102.628306203966
다사6445,다사6547,54.1532322471409
다라3470,다라3469,140.360269283014
다사6819,다사6820,65.5442784239672
마마0964,마마1165,82.7796200550974
다사2645,다사2646,64.2708226353008
다사6754,다사6755,110.791089253765
마마7322,마마7225,98.598535080687
다라4285,다라4084,73.4174704484251
다사7151,다사6749,58.0688681180635
라바0379,다바9472,74.3207930060253
다사5134,다사5032,55.6237742081227
다사2360,다사2262,207.873239948327
다마4972,다마5174,75.9049410895566
다라4484,다라3685,92.4311022836368
다사6354,다사5946,58.9147384965115
다사4058,다사4159,63.2271128628411
라마9357,라마9258,115.083319266696
라라1759,라라1860,72.9916258591166
다라4887,다라4884,60.614753969641
다사6211,다사6310,122.604109098935
다사6019,다사6633,141.921884550513
다바7609,다바7610,69.8028808340532
다사6736,다사6634,53.5315857981286
다마6562,다마6660,67.6349971500287
다사5717,다사5316,129.093295877713
라사2083,라사2187,89.5061449416727
다바2651,다바3254,133.767813932889
다바7609,다바7711,58.8123756918068
다라3685,다라3788,79.9493861751598
다바5891,다바6293,64.0032659290727
라바5924,라바5824,108.287485420118
다바9852,다바9952,111.250224774771
다사5348,다사5251,180.936038429834
마사2375,마사2475,57.2146815079282
다사2436,다사2935,64.8508262901328
마라4384,마라4283,116.52188089177
다사3337,다사2939,113.315051852227
마라4889,마라4887,151.559551948163
다사6161,다사6161,210.716997798173
다사6045,다사6145,139.764794903638
다사6252,다사5945,50.6876162261334
다사4742,다사4742,196.537081200987
다사4843,다사4642,60.3569332984426
다사6546,다사5844,103.502318071098
마라3579,마라3979,75.7692607971731
다사2736,다사2833,165.387593435266
다사5853,다사5753,58.1366772724751
다나1374,다나1274,57.7035706004246
다사2655,다사2254,81.2865663827318
라마9572,라마9672,87.8497912377108
다라4580,다라4478,55.4135983743891
다마6659,다마6559,66.3182205650563
마라3380,마라3477,71.624995259972
다사6206,다사6310,355.216188603032
다사4943,다사4942,55.4123977516317
다사2539,다사2539,122.30749723301
다사3543,다사3644,154.660829533656
다바8143,다바8144,88.4243264065421
마마3603,마마3809,57.9769205166086
다사5229,다사5130,113.303443807742
다바7831,다바7833,582.949148696493
다사6348,다사5844,128.774360804375
다사4943,다사6045,157.005311853053
라마6090,라마6092,447.178835369138
다사3646,다사3647,60.2792004989875
다사6736,다사7137,62.6070185119433
마마0860,마마0761,55.9733617459851
다라0646,나라9738,75.1912175580618
다사6738,다사6529,75.3900457838619
다마6556,다마6556,117.987616729965
마사4840,마사4739,133.938898685907
다라0146,다라0146,154.704420767339
다사5970,다사6069,71.0010693315212
다사3762,다사3761,97.1026536952409
다사4734,다사5132,79.6947325926349
다사4943,다사6145,131.282686569498
다사4857,다사4858,102.265965994754
다사4932,다사5032,289.142665866828
라사3927,라사3928,108.708585673674
다바9447,다바9346,73.0944655537009
다아8316,다아8316,56.6908971400299
다사8261,다사8262,93.7831870092161
다사5856,다사5957,54.1711269512512
마마6738,마마6528,121.511581566719
다바1916,다바1917,71.4909684631088
다바8511,다바8916,310.940844521794
다라4484,다라4586,58.9073845545144
다사5759,다사5551,52.9764899318168
마마6738,마마6830,52.7451627725751
다사4151,다사4151,291.652355776544
다바8518,다바8917,431.191900684886
라마9259,라마9257,51.1766207498434
다바2134,다바2134,68.60734028709
다사6730,다사6731,70.4789070761458
마라0792,마라0794,72.310875101908
다사6351,다사6149,113.660802339451
다사3545,다사3644,103.600720372813
다사6008,다사6307,77.1887869064865
라마9062,라마9059,106.570265048622
다사5862,다사5351,103.862839987644
라바3886,라바3787,55.3250772326159
다라4884,다라4783,153.669993269346
다사5046,다사4947,149.318062194563
다라3989,다라3685,113.108858901124
다라4885,다라4885,50.6324168265491
다사4024,다사3622,236.857480023094
마마6782,마마6782,62.7136023769445
다사6737,다사7137,319.445838090737
라마9162,라마8962,63.0764640464077
마라4489,마라4489,73.2374990084673
마라4682,마라4483,61.5102562412064
마라0991,마라0294,56.5971664361467
라라3648,라라3649,57.7247279465589
다사4346,다사5452,69.7187963494063
다사4751,다사5051,70.4437879229596
다바1918,다바1917,87.4008497395927
마라3691,마라3791,70.5763248644107
다사3545,다사3647,109.005035205491
마라0856,마라0953,99.5800393313522
다사5151,다사5351,107.532016262227
다사3143,다사3143,64.9174495749106
다사3140,다사3041,117.251759724831
다사5850,다사5852,55.2611512635498
다사6161,다사6063,59.6457809398979
다사4846,다사4947,375.720809165134
다사3129,다사3622,113.876711273632
다사6243,다사6045,77.8497540211462
다라3685,다라3688,129.512093138589
다사2358,다사2257,52.5759246718478
다사6262,다사5251,158.81116523276
마라4493,마라4388,77.8828336458485
다사2532,다사2331,56.8327283691649
라라5376,라라5174,106.8548968039
다사6115,다사6017,65.5256504364177
다사4856,다사5452,103.289929833663
다사5251,다사5352,485.606136658002
다사6014,다사6017,62.3619220446745
마라2394,마라1599,54.1338912519001
다바9012,다바9214,67.3236602273285
다사6937,다사7037,115.537099341073
마마0265,마마0165,86.8550945204571
마바0741,마바1041,124.250475030351
라마8544,라마8339,91.6686562697162
라마9563,라마9061,66.9259055405915
다사5127,다사4929,87.9041699858164
마라4483,마라4887,88.6958330112191
다바7833,다바7939,109.879342838252
마라3880,마라4185,52.493809760791
다사3738,다사3737,292.045604254352
라마9563,라마9666,50.4606583802232
다사4351,다사4051,50.6647927813527
다바9327,다바7833,51.086711721499
다사2745,다사2543,51.0399144378029
다사3545,다사3645,235.236224064773
다사4248,다사4447,164.614822317341
마사4149,마사4251,51.067754226103
다사6063,다사6162,73.8583577626098
다사5751,다사5551,98.3467460752542
다사6063,다사5352,63.5173120770382
라라0162,라라0262,63.476983945083
다마6060,다마6160,104.424323392003
다바8523,다바8723,131.372741227779
다사5343,다사4947,87.1602272960089
라바3787,라바3887,122.948365610971
다사6950,다사6849,65.3717768526713
다바6665,다바6666,84.6848600352256
다사4644,다사4947,84.3194067403353
다사3760,다사3760,153.223520168122
다사6426,다사6017,135.472543962541
다바9951,다바9852,52.482012802507
마사2573,마사2475,101.505275067587
다사5650,다사5452,55.2962493156086
다사5952,다사5953,63.6705261339333
다사5955,다사5956,94.7674007149806
다사5844,다사6145,65.3026417206041
다사4944,다사4642,90.1596349391959
다라3685,다라3789,139.80420972197
다사5044,다사5251,112.588230865323
마마1322,마마1123,61.5851054496833
다사6171,다사6171,108.033603153214
다사2556,다사2254,314.434367717361
마라0799,마라0598,176.765639712869
다사6632,다사6633,144.486198168379
다사3243,다사3342,59.3936249786603
다바8448,다바8449,73.8277873894135
다바4188,다바4185,110.212856382026
다라3686,다라3688,99.2719954919613
다바9347,다바9447,103.574472551635
마사2475,마사2273,215.692558147735
라바3787,라바3786,64.3591659141521
라마5592,라마5593,70.2560893609988
마라5086,마라4987,66.8107416253059
라사1885,라사2086,61.6346709629855
다다1403,다다1001,63.618019553078
다바7833,다바8518,222.404061013946
다사4845,다사4542,74.5541115239185
마라4483,마라4284,141.962541519146
다사4250,다사4250,87.946965448632
라마9064,라마8960,99.9326713973397
다사4024,다사2926,112.632535819803
라라5476,라라5174,71.8060714772108
다사6644,다사6446,89.4346980581262
다사5758,다사5351,74.2491760517638
라사2286,라사2286,58.8801653121188
다마6457,다마6557,82.9108567828201
다사3841,다사4541,62.5860321196448
다사6006,다사6206,210.550031926207
다사3244,다사4542,53.0803329609582
다사4244,다사5251,136.342223080325
다사4058,다사5251,60.5855551779759
마마5478,마마5578,103.996100102173
마라0353,마라0254,178.035834991732
라마7591,라마8493,73.8657030163584
다사4743,다사5251,91.2737545939402
다사4853,다사5352,57.961967637012
다사5857,다사5860,69.798845439553
다바6670,다바6770,71.332643707311
다사5155,다사5251,149.43082736942
다사5331,다사5536,69.3947143421858
다사4951,다사5452,56.6308648181939
다바7589,다바7890,65.4226955395381
다사5750,다사4947,89.5196513316851
다사4159,다사5251,88.9984896336889
다사6643,다사6742,68.1047134631567
다사4956,다사4857,75.0774014420905
마사4247,마사4149,67.8687441054158
다사6105,다사6307,67.2425449889988
다사6172,다사6071,56.3224558797586
마라0195,마라0894,146.611769577817
다사6345,다사6145,157.466437789136
다사6738,다사7137,71.5866642694325
다마2716,다마2715,79.3359136397894
다바6567,다바6968,52.6230313077928
다사4244,다사4245,51.6461193870151
다사4322,다사4321,95.7658543129049
다사4647,다사4648,78.9490843765767
다사4740,다사4541,79.3134056543734
다사4956,다사5351,87.0591348710021
다마6557,다마6660,50.5780107574761
라바0047,다바9845,58.8087887537773
다바8512,다바8917,81.7409335317106
라라9193,라라9295,137.154974000623
다사6426,다사5945,53.2639609794729
다사6258,다사6161,125.22572330663
마라4277,마라4278,95.4911029448588
다사5755,다사5352,112.66405702002
다사4747,다사6045,81.3397759491513
다사4346,다사4447,99.5852294963107
다사2736,다사2932,182.398140269632
라바3887,라바3990,115.103177887176
다바8411,다바8511,188.575125640722
마마5105,마마5204,159.84544498019
다사5754,다사5652,96.5649533571886
마마0162,라마9963,77.4941300302721
다사5131,다사5230,60.9780757220688
다사6149,다사6249,117.046957286106
다바6770,다바6770,152.888743042277
다사6011,다사6206,66.9249352073074
마라3987,마라4080,67.7492464569016
다사5845,다사6145,67.6867430605789
다사4641,다사4542,454.472656420556
마사4150,마사4248,54.3156523334695
다사6310,다사6308,121.250982464098
마마6934,마마6833,60.8963045226944
다사3738,다사3831,78.015100532786
라사4025,라사3927,76.0467884697589
다라3685,다라3590,76.7510786920675
다사7288,다사7388,59.7815799829391
다바4055,다바4054,59.5626456728624
다사3660,다사3562,50.100227951371
마라4391,마라4387,53.2664716850988
다라4381,다라4484,75.9651386572684
다사5816,다사6113,120.210258725082
다사5856,다사5451,90.8026672597255
다사2556,다사2556,193.100837659915
다라4581,다라4681,81.8042053845967
다사6454,다사6049,53.965374759538
마라3880,마라3579,55.7221881175261
마마7322,마마7224,225.35922475566
다사6252,다사5251,122.0505094133
마마5732,마마5332,136.798895588448
라바0611,라바0611,213.491106120448
마마3604,마마3603,95.9215168270184
다사5050,다사5452,54.2656103930864
다사5151,다사4947,95.9945708451364
마라0196,마라0491,50.0405333782337
다사6310,다사6204,68.7782757112962
마라2979,마라2679,104.608107181232
마라2497,마라2497,83.7425282320409
라아1812,라아1811,50.4095580714753
다사6272,다사6272,113.015603348103
다바4188,다바4286,114.87921887349
다사6572,다사6471,128.497576825254
다사2262,다사2257,367.97681716307
라마8762,라마8762,89.7387744986647
다바7833,다바6730,212.810110295901
다사6737,다사7037,220.865078717923
마바6990,마바6990,114.445028581936
다사5850,다사5251,180.880195928269
다라3686,다라3685,205.432504446935
다사3248,다사3148,119.832688705079
다마6661,다마6661,56.5783158687933
마마7425,마마7425,130.252815146033
다나0598,다다0500,79.9314441304812
마바0741,마바0841,116.98884409071
다사5144,다사5145,79.1358873462099
다라9964,다라9862,58.2097299240541
라마8488,라마8493,63.4793639058621
마라4591,마라4592,57.4886182447761
다사2448,다사2548,72.3243909930993
다사2339,다사2039,106.494542674633
다사5860,다사5451,68.3481406246102
다사3129,다사3326,52.5361447262202
마마6887,마마7179,54.2863750293887
다바8448,다바8549,55.2371958369578
다사5750,다사5351,94.1550194180618
다라0440,다라0241,99.2087419671473
다사2440,다사2340,89.3618513837982
다사6426,다사6424,129.286345645751
다사5962,다사6063,61.1413431357213
다바6666,다바6768,58.2299448516274
라라1739,라라1940,56.7158204609294
라마8762,라마8961,58.61162814739
마라3679,마라3678,61.226448938746
다사6125,다사6426,102.473832082117
다사5250,다사4947,126.630157764768
다바2345,다바2651,51.3669243577802
다사6471,다사7388,50.3180467925942
라라3549,라라3649,155.084176488612
다사4343,다사4542,75.1443405325011
다사5961,다사5251,122.027725835506
라바0048,라바0047,72.9099991862695
다사5961,다사5452,86.0478637685805
다사2262,다사2063,50.9845740307925
다라3685,다라4184,68.5921005243159
다사6214,다바6293,121.274175109529
다사3337,다사3238,62.0433878542858
라마7586,라마7684,58.0041625299066
라마9563,라마9767,50.0704782700817
마라2184,마라2382,134.283450317816
마라3986,마라4186,57.7103362847449
마사4244,마사4248,179.020935946758
다바8916,다바8917,472.344144268379
마마5104,마마5204,222.427274429174
다마4329,다마4130,168.777236250736
다사5050,다사4950,52.8288008496525
다사5657,다사5451,51.2669239687743
마마2976,마마3070,66.7736846479168
라바0046,다바9449,73.6275497059919
다사2743,다사2544,51.2043142964674
다사2441,다사2341,50.4320113044107
다바9257,다바9255,82.8025219265804
다사6232,다사6045,60.7957361872459
다라4486,다라4585,53.664309836957
다사4647,다사4747,118.018345147474
다사4645,다사5251,146.466947323433
다사5652,다사5651,63.4241032669985
마마7423,마마7526,214.576106002793
다사3947,다사3646,134.534472868736
다사6088,다사6189,57.36186480905
다사7368,다사7370,56.124857427888
다마5373,다마6773,65.1784943180677
다사6345,다사5844,204.61618052353
다라4588,다라4588,82.7116191202713
다사6261,다사5251,190.992672934771
다사6345,다사6045,179.651434754962
마마0565,마마0964,70.6453463356191
라마3743,라마3743,205.507906635322
다라4532,다라4532,56.1731166639837
다라3987,다라3685,103.537126078825
다사2650,다사2749,50.7946960437199
마라4387,마라4285,146.205717469462
다바8916,다바9017,106.115112577083
다사5946,다사4947,88.9508287639846
다사2841,다사2742,139.788148422241
다바9116,다바8916,52.3523215345809
라바0147,다바9845,131.290444048876
다사3842,다사5251,77.0182560352898
다사4446,다사5452,57.2893693773706
다바6571,다바6573,216.236228801615
다사6162,다사5251,127.597878572253
라바3885,라바3786,69.4443700475396
다바8916,다바8818,83.6573822397535
다사4930,다사4929,157.818617993033
마라4384,마라4284,106.047535924192
마라4287,마라4387,145.214668553837
마라0695,마라0792,82.2312046118535
다사5759,다사5652,61.0679924885248
마마3603,마마3604,236.70098074142
다사6248,다사6349,56.3508778325965
다라4587,다라4588,70.1404882307232
다라4487,다라4484,66.0768979697819
마라5288,마라4080,60.4665058294122
다사2955,다사2556,112.777396231753
다마6359,다마6457,52.5312265344278
마라3685,마라3785,64.7924767820662
라바9968,라바9970,175.538173680545
마마5104,마마5105,99.2316873484958
라마7691,라마7591,129.950662666676
다사3841,다사4642,91.3858932685731
다사6520,다사6519,107.921963073416
다사6855,다사6854,113.943417889843
다사4839,다사4739,142.163688344974
다사2440,다사2544,52.9295730595974
다바6968,다바6770,117.975237240428
마라4483,마라4285,76.3851882848747
마마6228,마마6628,105.819713774089
다사3841,다사4542,142.751287972806
마마1064,마마0964,176.346833099683
다사6018,다사6017,140.208726698819
라마7492,라마7591,88.65554960903
다사6155,다사5953,53.4775615020853
다사3841,다사4442,56.4623320026605
다사7251,다사7250,186.862478601631
마라0155,마라0056,529.768770659423
다사6938,다사6837,54.9872951584329
다사5912,다사6310,105.260537457857
다사6632,다사5251,65.612979225335
다사6516,다사6517,113.992189674972
다사4857,다사4857,208.803973792053
마라4493,마라4390,62.3357597088986
마라4284,마라4080,115.876664604892
마라3794,마라4285,56.5606654857457
라사2285,라사2183,51.1749782611428
다사5521,다사6019,50.4510561089733
마라5287,마라5388,126.151360379825
다사2556,다사2355,64.7358948072463
마라4391,마라4491,62.2673406272254
다사5054,다사5053,58.2349875245918
다바9513,다바8917,55.6666284339287
다바9025,다바9124,52.5358007618723
다사5717,다사5718,128.170847326876
다사5242,다사4642,51.0928389003737
다사6222,다사6122,72.6141366129997
다바9357,다바8855,50.8315161694191
다사3148,다사3448,61.4561304249974
다사4242,다사4342,54.9551480955433
다사4944,다사4947,170.031006451658
다바6196,다바6293,76.6152857473715
다마6559,다마6858,103.041639043865
마마0164,마마0265,65.7689687961992
다사6446,다사6446,63.5813928812114
마마7277,마마7079,51.7921000952385
다사4747,다사4847,281.386505568782
마마6740,마마6738,119.837202313246
다사6455,다사5452,54.181235902836
마라3791,마라3483,60.8883177040476
다라4282,다라4283,55.8886097381353
마마7323,마마7224,230.26784107374
마라5086,마라5186,93.1515508258171
마라4376,마라4078,155.709780108876
다라3685,다라3790,186.045457701631
다라4291,다라4391,68.2064622118061
마라2493,마라2593,73.98604701042
다사5656,다사5556,62.9466212780605
다사4643,다사4542,77.0829971657051
마라0991,마라0990,91.7844683165369
마라4388,마라4185,80.6924446519143
다사4643,다사4647,57.0750810639578
다바6830,다바6730,144.499069777695
다사3058,다사2660,148.099955725803
라마7494,라마7492,124.405252575288
다사4442,다사4441,70.3619335590273
다바2177,다바2277,82.7388274170081
다사4449,다사4450,143.517300954228
다바8516,다바8916,127.453917799017
다사6850,다사6547,68.223466867737
라라5085,라라5289,59.8227329458564
다사4151,다사4150,100.270003267282
마마6887,마마6987,66.1709848174351
다사5144,다사4947,89.5705859459537
다사3827,다사3622,80.5085337315917
다바6764,다바6571,77.5762137435067
다사3129,다사2926,483.519339760136
다사6324,다사6533,63.2496227834361
다사5941,다사5942,151.748487057529
다바2545,다바2651,110.424883642061
라아9423,라아9523,132.929039130995
다바8912,다바9213,80.2658006213111
다사5656,다사5754,88.3769657307165
다사6071,다사6471,80.0715758409928
다다1101,다다0901,121.806028065651
다사5343,다사4542,60.6921872146701
다사5757,다사5860,65.1441080558142
다사4752,다사5049,54.9065382947982
다사7215,다사7415,153.744488551999
다나0774,다나1274,68.8392288609756
다바6590,다바6589,59.7993838020077
다바5963,다바6064,63.0958854872764
다라4182,다라4180,71.0790215262444
다사6310,다바6293,346.353088176501
다사5251,다사5251,174.878547491803
다사5862,다사5861,90.0339102799979
다사4248,다사5251,212.211556219356
다바6770,다바6573,357.976888925736
다사6642,다사6446,61.4066011703857
다사6345,다사6642,64.5578326933154
마라4078,마라4080,81.9833734080712
라마8391,라마7989,59.5928083210782
